,nCoeffs,stability,mean_acc,std_acc
0,0.005,-0.00016099481355659747,0.5624999999999999,0.14263385427759798
1,0.01,7.494290250949391e-05,0.5156666666666667,0.1323579644447741
2,0.02,-0.00014034984523309416,0.5535000000000001,0.13852062287963826
3,0.05,9.65034716413634e-05,0.5415,0.12435004987776069
4,0.1,-6.412005845310599e-05,0.4938333333333334,0.12913540949053176
5,0.25,-5.755145031252939e-05,0.4901666666666666,0.14954279366805723
6,0.5,-1.2180927709671543e-05,0.5236666666666667,0.14317977836895218
