,nCoeffs,stability,mean_acc,std_acc
0,0.0025,1.0943793241751553e-05,0.5816666666666667,0.1415106092321439
1,0.005,3.388299422077897e-05,0.5948333333333333,0.13526992178462438
2,0.01,-2.254339272270769e-05,0.5835000000000001,0.11666654641648445
3,0.025,-0.00019234251391781883,0.5373333333333333,0.12916723688372017
4,0.05,9.829996617852667e-05,0.5333333333333333,0.10814215194852725
5,0.125,-0.0002949011885153963,0.5053333333333333,0.14848429876899547
6,0.25,0.0003918705123524406,0.5311666666666666,0.14511605711867326
