,nCoeffs,stability,mean_acc,std_acc
0,0.0025,3.669645812916862e-06,0.5623333333333332,0.144979970751797
1,0.005,0.00015469714024465083,0.5156666666666667,0.1323579644447741
2,0.01,-1.2652141742149908e-05,0.5545,0.13702496761846633
3,0.025,8.608105869715681e-05,0.5406666666666667,0.12571501450078082
4,0.05,-1.1919646709987378e-06,0.4936666666666667,0.12870284378270486
5,0.125,0.00011098537224353497,0.4901666666666666,0.14954279366805723
6,0.25,8.264910879314528e-05,0.5246666666666667,0.14406476907277163
