,nCoeffs,stability,mean_acc,std_acc
0,0.005,1.4147492999140308e-05,0.5396666666666667,0.12365505404378904
1,0.01,4.258709956624373e-05,0.5956666666666667,0.12928665546647092
2,0.02,4.4003912469440655e-05,0.5285,0.1447024696188863
3,0.05,9.922470874683762e-06,0.47733333333333333,0.13744746981473913
4,0.1,-8.111297986190425e-05,0.5443333333333333,0.13160112164740548
5,0.25,-5.072264607273204e-05,0.5908333333333334,0.14208198183545148
6,0.5,9.581777833010473e-05,0.6741666666666667,0.14371171963828033
